id,work_province,work_dedication,salary_monthly_BRUTO,salary_monthly_NETO,profile_studies_level,profile_age,profile_gender,lenguaje_programacion,profile_years_experience
468,Ciudad Autónoma de Buenos Aires,Full-Time,800000,600000,Universitario,31,Varón Cis,python,15
469,Ciudad Autónoma de Buenos Aires,Full-Time,185000,153000,Terciario,45,Varón Cis,shell script,20
470,Ciudad Autónoma de Buenos Aires,Full-Time,392000,272716,Terciario,34,Varón Cis,bash/shell,25
470,Ciudad Autónoma de Buenos Aires,Full-Time,392000,272716,Terciario,34,Varón Cis,go,25
470,Ciudad Autónoma de Buenos Aires,Full-Time,392000,272716,Terciario,34,Varón Cis,java,25
470,Ciudad Autónoma de Buenos Aires,Full-Time,392000,272716,Terciario,34,Varón Cis,javascript,25
470,Ciudad Autónoma de Buenos Aires,Full-Time,392000,272716,Terciario,34,Varón Cis,python,25
470,Ciudad Autónoma de Buenos Aires,Full-Time,392000,272716,Terciario,34,Varón Cis,sql,25
471,Ciudad Autónoma de Buenos Aires,Full-Time,320000,220000,NA,27,Varón Cis,.net,3
471,Ciudad Autónoma de Buenos Aires,Full-Time,320000,220000,NA,27,Varón Cis,c#,3
471,Ciudad Autónoma de Buenos Aires,Full-Time,320000,220000,NA,27,Varón Cis,javascript,3
472,Ciudad Autónoma de Buenos Aires,Full-Time,125338,104032,NA,25,Varón Cis,ninguno de los anteriores,3
473,Ciudad Autónoma de Buenos Aires,Full-Time,210000,176000,NA,36,Varón Cis,ninguno de los anteriores,3
474,Ciudad Autónoma de Buenos Aires,Full-Time,700000,350000,Universitario,34,Varón Cis,ninguno de los anteriores,2
475,Ciudad Autónoma de Buenos Aires,Full-Time,480000,330000,Terciario,26,Varón Cis,css,2
475,Ciudad Autónoma de Buenos Aires,Full-Time,480000,330000,Terciario,26,Varón Cis,html,2
475,Ciudad Autónoma de Buenos Aires,Full-Time,480000,330000,Terciario,26,Varón Cis,javascript,2
475,Ciudad Autónoma de Buenos Aires,Full-Time,480000,330000,Terciario,26,Varón Cis,typescript,2
476,Ciudad Autónoma de Buenos Aires,Full-Time,590000,590000,Universitario,27,Varón Cis,python,2
477,Ciudad Autónoma de Buenos Aires,Full-Time,191000,150000,Universitario,58,Varón Cis,ninguno de los anteriores,15
478,Ciudad Autónoma de Buenos Aires,Full-Time,720000,450000,NA,36,Varón Cis,bash/shell,12
478,Ciudad Autónoma de Buenos Aires,Full-Time,720000,450000,NA,36,Varón Cis,python,12
478,Ciudad Autónoma de Buenos Aires,Full-Time,720000,450000,NA,36,Varón Cis,sql,12
479,Ciudad Autónoma de Buenos Aires,Full-Time,509000,340000,Universitario,39,Varón Cis,ninguno de los anteriores,18
480,Ciudad Autónoma de Buenos Aires,Full-Time,290000,220000,NA,39,Varón Cis,ninguno de los anteriores,15
481,Ciudad Autónoma de Buenos Aires,Full-Time,300000,249000,Universitario,31,Varón Cis,css,5
481,Ciudad Autónoma de Buenos Aires,Full-Time,300000,249000,Universitario,31,Varón Cis,html,5
481,Ciudad Autónoma de Buenos Aires,Full-Time,300000,249000,Universitario,31,Varón Cis,javascript,5
482,Ciudad Autónoma de Buenos Aires,Full-Time,130000,0,NA,22,Varón Cis,typescript,0
483,Ciudad Autónoma de Buenos Aires,Full-Time,260000,210000,Universitario,28,Varón Cis,sql,6
